VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	Throttle	Steering	Brake	Gear	Handbrake	RPM	Speed	ImageFile
Car1	1698757247003	46.3986	-6.71005	-0.723688	0.97733	-0.000220458	0.00116375	0.21172	1	0	0	1	0	1484.05	2.921	img_Car1__0_1698757247002734000.png
Car1	1698757247055	46.5374	-6.64695	-0.723588	0.97733	-0.000198226	0.0010608	0.211721	1	0	0	1	0	1673.15	2.99395	img_Car1__0_1698757247054959300.png
Car1	1698757247112	46.6789	-6.58262	-0.723574	0.977329	-0.000194963	0.00104547	0.211722	1	0	0	1	0	1848.32	3.08571	img_Car1__0_1698757247106014200.png
Car1	1698757247158	46.8237	-6.51678	-0.723573	0.977329	-0.000203596	0.00108513	0.211723	1	0	0	1	0	2013.68	3.19057	img_Car1__0_1698757247157655500.png
Car1	1698757247209	46.9735	-6.44881	-0.723598	0.977337	-0.000211169	0.00115558	0.211684	1	-1	0	1	0	2171.79	3.30014	img_Car1__0_1698757247209032000.png
Car1	1698757247260	47.1285	-6.38282	-0.723639	0.977695	1.84473e-05	0.00127733	0.210024	1	-1	0	1	0	2324.57	3.4076	img_Car1__0_1698757247259884100.png
Car1	1698757247313	47.2919	-6.32071	-0.723652	0.978612	0.000527442	0.00143865	0.20571	1	0	0	1	0	2473.99	3.53289	img_Car1__0_1698757247312754600.png
Car1	1698757247366	47.4667	-6.25348	-0.723661	0.979387	0.000692334	0.0015636	0.201985	1	0	0	1	0	2624.69	3.66858	img_Car1__0_1698757247366099800.png
Car1	1698757247419	47.6474	-6.17754	-0.723672	0.979551	0.000394062	0.00159455	0.201191	0	0	0	1	0	2602.34	3.80673	img_Car1__0_1698757247419077000.png
Car1	1698757247471	47.8347	-6.0975	-0.723691	0.979574	0.000114225	0.00161242	0.201076	0	0	0	1	0	2344.75	3.92929	img_Car1__0_1698757247471457200.png
Car1	1698757247525	48.0231	-6.01684	-0.723708	0.979578	-7.24255e-05	0.00158943	0.20106	0	0	0	1	0	2066.5	4.01806	img_Car1__0_1698757247525078100.png
Car1	1698757247577	48.2215	-5.93187	-0.723678	0.979578	-0.000182796	0.00149291	0.201057	0	0	0	1	0	1829.5	4.07158	img_Car1__0_1698757247577103500.png
Car1	1698757247640	48.5386	-5.79601	-0.723284	0.979579	-0.000231683	0.00119501	0.201057	1	0	0	1	0	1710.49	4.09327	img_Car1__0_1698757247629658300.png
Car1	1698757247698	48.6754	-5.7374	-0.723788	0.979579	-0.000227242	0.00105682	0.201057	1	0	0	1	0	1769.18	4.10648	img_Car1__0_1698757247698207700.png
Car1	1698757247751	48.8702	-5.65396	-0.723595	0.979579	-0.000209545	0.000885823	0.201057	1	0	0	1	0	1943.45	4.13597	img_Car1__0_1698757247750688900.png
Car1	1698757247804	49.0697	-5.56848	-0.723503	0.979579	-0.000195795	0.000793663	0.201058	1	0	0	1	0	2139.45	4.19064	img_Car1__0_1698757247803901500.png
Car1	1698757247857	49.2756	-5.48025	-0.723484	0.979579	-0.000191125	0.000784156	0.201059	1	0	0	1	0	2326.93	4.26656	img_Car1__0_1698757247857049200.png
Car1	1698757247909	49.4839	-5.39096	-0.723497	0.979579	-0.000193952	0.000831036	0.20106	1	-1	0	1	0	2502.04	4.3531	img_Car1__0_1698757247909371000.png
Car1	1698757247962	49.6942	-5.30448	-0.723539	0.979855	5.46912e-06	0.000940695	0.199708	1	-1	0	1	0	2669.05	4.44018	img_Car1__0_1698757247961598000.png
Car1	1698757248014	49.912	-5.22299	-0.723555	0.980706	0.000536556	0.00110686	0.195486	1	-1	0	1	0	2831.07	4.52721	img_Car1__0_1698757248014015300.png
Car1	1698757248068	50.1384	-5.14834	-0.723563	0.982163	0.0013319	0.0012994	0.188021	1	-1	0	1	0	2990.23	4.6136	img_Car1__0_1698757248067749100.png
Car1	1698757248124	50.3804	-5.07981	-0.723557	0.984171	0.00228359	0.00149906	0.177202	1	0	0	1	0	3152.8	4.7549	img_Car1__0_1698757248123984200.png
Car1	1698757248185	50.6457	-5.00187	-0.723786	0.985657	0.00244959	0.00164911	0.168736	0	0	0	1	0	3104.09	4.89573	img_Car1__0_1698757248185057900.png
Car1	1698757248248	50.9698	-4.89374	-0.723844	0.986118	0.00163163	0.00161771	0.166027	0	0	0	1	0	2732.74	5.02334	img_Car1__0_1698757248247906800.png
Car1	1698757248311	51.235	-4.80241	-0.724053	0.986168	0.000984832	0.00152192	0.165738	1	0	0	1	0	2421.26	5.10591	img_Car1__0_1698757248311164600.png
Car1	1698757248375	51.5408	-4.69684	-0.724271	0.986175	0.000469647	0.0013244	0.165698	1	0	0	1	0	2335.29	5.15381	img_Car1__0_1698757248374446000.png
Car1	1698757248438	51.8478	-4.59083	-0.724155	0.986177	0.000166813	0.00111359	0.165694	1	0	0	1	0	2446.17	5.20182	img_Car1__0_1698757248437512600.png
Car1	1698757248501	52.158	-4.48366	-0.724053	0.986176	-9.93366e-06	0.000973774	0.165696	1	0	0	1	0	2671.94	5.25725	img_Car1__0_1698757248500560800.png
Car1	1698757248563	52.4688	-4.37625	-0.723988	0.986177	-0.000109675	0.000918817	0.165693	1	-1	0	1	0	2885.26	5.35773	img_Car1__0_1698757248563022300.png
Car1	1698757248626	52.7876	-4.2715	-0.723958	0.986524	0.000162352	0.000999549	0.163616	1	-1	0	1	0	3088.99	5.42802	img_Car1__0_1698757248625745100.png
Car1	1698757248693	53.1147	-4.17666	-0.723933	0.987581	0.000979804	0.00113819	0.157106	1	0	0	1	0	3289.59	5.56557	img_Car1__0_1698757248692296900.png
Car1	1698757248760	53.514	-4.06119	-0.723938	0.988509	0.00118699	0.00128205	0.151149	1	0	0	1	0	3499.85	5.70543	img_Car1__0_1698757248759832100.png
Car1	1698757248830	53.8533	-3.95632	-0.723952	0.988627	0.00077203	0.00133602	0.150382	0	0	0	1	0	3403.77	5.83577	img_Car1__0_1698757248830196200.png
Car1	1698757248900	54.2443	-3.83478	-0.723954	0.988642	0.000402833	0.00134419	0.150282	0	0	0	1	0	2959.19	5.97337	img_Car1__0_1698757248900203500.png
Car1	1698757248969	54.6445	-3.71056	-0.723933	0.988657	0.000186104	0.0012763	0.150188	0	-1	0	1	0	2548.51	6.00301	img_Car1__0_1698757248969324100.png
Car1	1698757249040	55.0404	-3.59665	-0.723863	0.989183	0.000603358	0.0011031	0.146681	0	-1	0	1	0	2226.85	6.00116	img_Car1__0_1698757249040002300.png
Car1	1698757249114	55.4664	-3.48905	-0.723768	0.990395	0.00149672	0.000888455	0.138253	1	0	0	1	0	2047.09	5.92264	img_Car1__0_1698757249113848700.png
Car1	1698757249196	55.9037	-3.36927	-0.723664	0.990719	0.00114178	0.000486637	0.135919	0	0	0	1	0	1817.85	5.84618	img_Car1__0_1698757249195508700.png
Car1	1698757249285	56.6152	-3.1707	-0.723495	0.990747	0.000570674	-0.000180397	0.135721	0	0	0	1	0	1589.84	5.69196	img_Car1__0_1698757249274728500.png
Car1	1698757249379	56.9304	-3.08275	-0.72343	0.990749	0.000428719	-0.000430206	0.135708	1	0	0	1	0	1548.02	5.52288	img_Car1__0_1698757249378485000.png
